N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
426,SNLS 04D3dd,SN*,14 17 48.405,+52 28 14.44,,,,,25.24,SNIa,17,1
427,SNLS 04D3co,SN*,14 17 49.979,+52 57 49.00,,,,,23.67,SNIa,14,1
428,SNLS 05D3ht,SN*,14 17 54.701,+53 10 03.30,,,,,22.37,SNIa,7,0
429,SNLS 03D3ay,SN*,14 17 58.459,+52 28 57.41,,,,,19.15,SNIa,14,1
430,SNLS 04D3df,SN*,14 18 10.001,+52 16 39.67,,,,,,SNIa,13,2
431,SNLS 04D3cy,SN*,14 18 12.434,+52 39 29.99,,,,,21.37,SNIa,14,1
432,SNLS 04D3fk,SN*,14 18 26.184,+52 31 42.48,,,,,20.79,SNIa,17,2
433,SNLS 06D3gh,SN*,14 18 31.419,+52 26 34.47,,,,,23.52,SNIa,9,0
434,SN 2003fi,SN*,14 18 39.927,+52 36 43.48,,,,,21.4,SNIa,19,1
435,SNLS 05D3mn,SN*,14 18 45.242,+52 19 23.32,,,,,22.17,SNIa,9,0
436,SNLS 05D3cq,SN*,14 18 46.163,+53 07 55.70,,,,,23.66,SNIa,7,0
437,SNLS 06D3ed,SN*,14 18 47.802,+52 45 23.61,,,,,21.63,SNIa,8,0
438,SNLS 04D3ny,SN*,14 18 56.320,+52 11 14.87,,,,,22.91,SNIa,16,1
439,SNLS 05D3mh,SN*,14 18 59.833,+52 40 03.21,,,,,21.14,SNIa,8,0
440,SNLS 05D3mq,SN*,14 19 00.428,+52 23 06.43,,,,,18.31,SNIa,12,1
441,SNLS 04D3ez,SN*,14 19 07.8654454344,+53 04 18.973780248,,,,,19.2,SNIa,18,2
442,SNLS 05D3hh,SN*,14 19 10.153,+52 57 33.60,,,,,21.99,SNIa,7,0
443,SNLS 05D3ax,SN*,14 19 17.583,+52 41 15.07,,,,,24.45,SNIa,9,0
444,SNLS 06D3em,SN*,14 19 23.419,+53 01 22.85,,,,,23.39,SNIa,7,0
445,SNLS 04D3mk,SN*,14 19 25.764,+53 09 49.30,,,,,23.08,SNIa,14,1
446,SNLS 05D3jr,SN*,14 19 28.748,+52 51 53.45,,,,,24.33,SNIa,10,1
447,SNLS 04D3oe,SN*,14 19 39.384,+52 33 13.85,,,,,,SNIa,12,1
448,SNLS 04D3lp,SN*,14 19 50.909,+52 30 11.50,,,,,24.25,SNIa,14,1
449,SNLS 05D3kt,SN*,14 19 53.720,+52 44 34.75,,,,,22.81,SNIa,9,0
