N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
630,SNLS 05D4fo,SN*,22 15 20.912,-17 16 05.07,,,,,24.88,SNIa,10,0
631,SNLS 04D4dm,SN*,22 15 25.454,-17 14 42.57,,,,,23.44,SNIa,16,1
632,SNLS 06D4co,SN*,22 15 26.518,-17 52 09.07,,,,,20.13,SNIa,9,0
633,SNLS 06D4bo,SN*,22 15 28.113,-17 24 33.06,,,,,21.29,SNIa,8,0
634,SNLS 05D4dy,SN*,22 15 30.119,-18 12 55.81,,,,,24.75,SNIa,9,0
635,SNLS 06D4ba,SN*,22 15 35.737,-18 13 44.82,,,,,24.55,SNIa,8,0
636,SNLS 04D4hu,SN*,22 15 36.208,-17 50 20.04,,,,,22.17,SNIa,11,1
637,SNLS 05D4ej,SN*,22 15 52.517,-18 11 44.59,,,,,20.71,SNIa,8,0
638,SNLS 04D4ii,SN*,22 15 55.632,-17 39 26.92,,,,,21.9,SNIa,10,1
639,SNLS 05D4bi,SN*,22 15 56.550,-17 59 09.85,,,,,23.46,SNIa,8,0
640,SNLS 04D4an,SN*,22 15 57.101,-17 41 43.81,,,,,20.7,SNIa,15,1
641,SNLS 03D4cj,SN*,22 16 06.627,-17 42 16.76,,,,,,SNIa,14,2
642,SNLS 04D4gg,SN*,22 16 09.259,-17 17 39.88,,,,,19.64,SNIa,10,2
643,SNLS 03D4au,SN*,22 16 09.928,-18 04 39.32,,,,,,SNIa,13,2
644,SNLS 03D4fd,SN*,22 16 14.451,-17 23 44.06,,,,,22.76,SNIa,17,1
645,SN 2005gf,SN*,22 16 16.61,+00 42 29.5,,21.3,,,,SNIa,23,1
646,SNLS 05D4ff,SN*,22 16 20.160,-18 02 33.20,,,,,19.24,SNIa,8,0
647,SNLS 04D4id,SN*,22 16 21.400,-17 13 44.50,,,,,21.3,SNIa,9,0
648,SNLS 05D4bf,SN*,22 16 26.346,-18 13 55.44,,,,,20.15,SNIa,7,0
649,SNLS 05D4ek,SN*,22 16 27.517,-17 44 10.74,,,,,20.01,SNIa,10,0
650,SNLS 05D4af,SN*,22 16 33.141,-18 00 17.72,,,,,22.6,SNIa,9,0
651,SNLS 04D4fx,SN*,22 16 38.136,-18 03 58.88,,,,,24.87,SNIa,9,0
652,SNLS 03D4gg,SN*,22 16 40.190,-18 09 52.05,,,,,20.8,SNIa,15,2
653,SNLS 05D4fg,SN*,22 16 41.348,-17 35 43.66,,,,,20.47,SNIa,9,0
654,SNLS 04D4ib,SN*,22 16 41.713,-18 06 18.32,,,,,20.69,SNIa,8,0
655,SNLS 03D4cz,SN*,22 16 41.860,-17 55 34.57,,,,,21.45,SNIa,17,1
656,SNLS 04D4dw,SN*,22 16 44.674,-17 50 02.66,,,,,22.04,SNIa,15,1
657,SNLS 05D4be,SN*,22 16 53.388,-17 14 09.96,,,,,22.19,SNIa,10,0
658,SNLS 06D4cq,SN*,22 16 55.523,-17 42 43.13,,,,,21.7,SNIa,10,0
659,SNLS 05D4dw,SN*,22 16 55.878,-18 03 05.26,,,,,22.97,SNIa,9,0
660,SNLS 06D4cl,SN*,22 16 57.053,-17 27 02.28,,,,,21.78,SNIa,8,0
661,SNLS 04D4hf,SN*,22 16 57.900,-17 41 13.29,,,,,,SNIa,7,0
662,SNLS 04D4ju,SN*,22 17 02.726,-17 19 58.13,,,,,21.28,SNIa,11,1
663,SNLS 05D4bm,SN*,22 17 04.611,-17 40 39.44,,,,,21.52,SNIa,8,0
664,SNLS 05D4hn,SN*,22 17 13.564,-17 54 45.74,,,,,24.47,SNIa,8,0
665,SNLS 04D4ih,SN*,22 17 17.025,-17 40 38.58,,,,,22.34,SNIa,7,1
666,SNLS 06D4ce,SN*,22 17 17.245,-17 14 09.37,,,,,25.77,SNIa,8,0
667,SNLS 05D4cs,SN*,22 17 17.818,-17 52 48.54,,,,,25.46,SNIa,9,0
668,SNLS 04D4jw,SN*,22 17 18.893,-17 39 55.78,,,,,21.54,SNIa,7,0
669,SNLS 03D4dh,SN*,22 17 31.027,-17 37 46.75,,,,,21.79,SNIa,15,1
670,SN 2005gg,SN*,22 18 41.16,+00 38 21.1,,21.7,,,,SNIa,23,1
671,SN 2006fi,SN*,22 19 50.26,+00 01 27.8,,,,,,SNIa,16,1
672,SN 2006lm,SN*,22 20 12.72,+00 24 35.7,,,,,,SNIa,13,1
673,SN 2005mi,SN*,22 21 02.6,-00 44 54,,,,,,SNIa,20,1
674,SN 2005li,SN*,22 23 15.45,+00 15 11.0,,22.6,,,,SNIa,17,1
675,SN 2006sv,SN*,22 25 28.25,+00 15 55.0,,,,,,SNIa,9,1
676,SN 2006ja,SN*,22 26 51.8,+00 30 23,,,,,,SNIa:,18,1
677,SN 2006hv,SN*,22 27 19.920,+01 01 50.59,,,,,,SNIa,17,1
678,SN 2007la,SN*,22 29 54.720,+01 03 30.49,,,,,,SNIa,15,1
679,SN 2006ks,SN*,22 30 04.560,+00 00 11.21,,,,,,SNIa,17,1
680,SN 2006kc,SN*,22 30 10.560,-00 24 28.04,,,,,,SNIa,14,1
681,SN 2005ig,SN*,22 30 31.47,-00 30 09.5,,21.9,,,,SNIa,19,1
682,SN 2005ff,SN*,22 30 41.040,-00 46 34.47,,21.0,,,,SNIa,30,1
683,SN 2007qm,SN*,22 30 48.96,+00 00 42.0,,,,,,SNIa,8,1
684,SN 2005le,SN*,22 31 32.29,-00 29 36.8,,22.3,,,,SNIa,16,1
685,SN 2006gr,SN*,22 32 22.67,+30 49 43.3,,,18.8,,,SNIa,54,1
686,SN 2005kc,SN*,22 34 07.34,+05 34 06.3,,,18.2,,,SNIa,69,1
687,SN 2006gp,SN*,22 34 10.00,+00 03 17.9,,,,,,SNIa,11,1
688,SN 2007lo,SN*,22 35 56.160,+00 36 32.79,,,,,,SNIa,16,1
689,SN 2005fg,SN*,22 36 04.20,-00 22 30.8,,21.8,,,,SNIa,19,1
690,SN 2007pq,SN*,22 37 13.9,+00 44 10,,,,,,SNIa,14,1
691,SN 2007ik,SN*,22 38 53.760,-01 10 02.14,,,,,,SNIa,18,1
692,SN 2006bh,SN*,22 40 16.10,-66 29 06.3,,,14.8,,,SNIa,47,1
693,SN 2006py,SN*,22 41 42.0,-00 08 12,,,,,,SNIa,33,1
694,SN 2006nu,SN*,22 43 19.00,+00 15 46.5,,,,,,SNIa,9,1
695,SN 2007lp,SN*,22 43 41.040,+00 25 13.84,,,,,,SNIa,13,1
696,SN 2006nd,SN*,22 44 58.812,-01 00 23.05,,,,,,SNIa,22,1
697,SN 1995ac,SN*,22 45 34.14,-08 45 04.7,,17.23,17.1,,,SNIapec,77,2
698,SN 2007pu,SN*,22 45 58.320,-00 38 55.99,,,,,,SNIa,13,1
699,SN 2006fx,SN*,22 46 16.32,+00 24 58.4,,,,,,SNIa,18,1
700,SN 2007pi,SN*,22 46 49.28,+00 45 20.9,,,,,,SNIa,7,1
701,SN 2006jg,SN*,22 48 26.64,-00 26 07.0,,,,,,SNIa,9,1
702,SN 2006jm,SN*,22 54 12.24,+01 03 03.2,,,,,,SNIa,10,1
703,SN 2005fx,SN*,22 56 48.34,+00 24 03.9,,21.8,,,,SNIa,20,1
704,SN 2005ku,SN*,22 59 42.61,+00 00 49.3,,20.7,,,,SNIa,40,1
705,SN 2006fn,SN*,23 00 05.98,+00 32 15.6,,,,,,SNIa,11,1
706,SN 2006hf,SN*,23 00 52.48,-00 58 52.4,,,,,,SNIa,10,1
707,SN 2005jg,SN*,23 01 02.97,-00 12 26.7,,,,,,SNIa,17,1
708,SN 2006oc,SN*,23 02 48.35,-00 52 35.1,,,,,,SNIa,7,1
709,SN 2007mw,SN*,23 03 02.64,+00 50 57.8,,,,,,SNIa,8,1
710,SN 2006pk,SN*,23 04 59.85,-00 52 24.1,,,,,,SNIa,11,1
711,SN 2007pr,SN*,23 06 13.03,+00 19 44.3,,,,,,SNIa,7,1
712,SN 2006gn,SN*,23 11 18.43,+00 30 16.6,,,,,,SNIa,10,1
713,SN 2007pd,SN*,23 11 54.240,-00 34 44.61,,,,,,SNIa,17,1
714,SN 2006nm,SN*,23 12 39.091,+00 15 57.18,,,,,,SNIa,14,1
715,SN 2005jy,SN*,23 13 51.60,+01 15 25.2,,,,,,SNIa,20,1
716,SN 1992bl,SN*,23 15 13.09,-44 44 35.7,,17.34,17.33,,,SNIa,61,1
717,SN 2007qi,SN*,23 16 28.80,-00 05 56.1,,,,,,SNIa,10,1
718,SN 2005id,SN*,23 16 33.360,-00 39 48.13,,21.5,,,,SNIa,23,1
719,SN 2005fh,SN*,23 17 29.6,+00 25 46,,,,,,SNIa,31,1
720,SN 2007oy,SN*,23 17 55.44,+01 13 25.1,,,,,,SNIa,10,1
721,SN 2007sg,SN*,23 19 26.09,-00 54 05.9,,,,,,SNIa,7,1
722,SN 2005jh,SN*,23 20 04.4,-00 03 20,,,,,,SNIa,27,1
723,SN 2006hk,SN*,23 20 29.54,-01 09 28.2,,,,,,SNIa,9,1
724,SN 2006oe,SN*,23 21 26.88,+01 07 57.6,,,,,,SNIa,10,1
725,SN 2006hl,SN*,23 22 46.080,+00 31 56.34,,,,,,SNIa,21,1
726,SN 2006hm,SN*,23 26 14.81,-00 22 56.1,,,,,,SNIa,8,1
727,SN 2006fy,SN*,23 26 40.080,-00 50 26.16,,,,,,SNIa,27,1
728,SN 2006ol,SN*,23 28 07.20,+00 51 22.9,,,,,,SNIa,15,1
729,SN 2002dp,SN*,23 28 30.12,+22 25 38.8,,,15.1,,,SNIa,45,1
730,SN 2006pd,SN*,23 31 46.08,-00 40 05.1,,,,,,SNIa,12,1
731,SN 2007ra,SN*,23 34 24.00,-00 53 25.2,,,,,,SNIa,16,1
732,SN 2007lw,SN*,23 36 48.90,-00 46 56.1,,,,,,SNIa,6,1
733,SN 2007pw,SN*,23 37 34.56,+00 14 50.8,,,,,,SNIa,13,1
734,SN 2005gw,SN*,23 37 59.60,+00 38 31.7,,21.6,,,,SNIa,17,1
735,SN 2006ku,SN*,23 38 13.6,+01 14 56,,,,,,SNIa,15,1
736,SN 1997dg,SN*,23 40 14.21,+26 12 11.8,,17.2,,,,SNIa,42,2
737,SN 2006oh,SN*,23 41 12.480,-01 06 21.46,,,,,,SNIa,13,1
738,SN 2007jp,SN*,23 44 41.280,-00 01 48.27,,,,,,SNIa,15,1
739,SN 2007pb,SN*,23 48 25.00,-01 11 06.0,,,,,,SNIa,7,1
740,SN 2005ko,SN*,23 50 05.03,-00 55 17.1,,22.6,,,,SNIa,23,1
741,SN 2006fu,SN*,23 51 08.400,-00 44 47.64,,,,,,SNIa:,22,1
742,SN 2007oj,SN*,23 51 37.920,+00 16 47.38,,,,,,SNIa,13,1
743,SN 2001da,SN*,23 53 32.78,+08 07 02.6,,,16.5,,,SNIa,44,1
744,SN 2007qe,SN*,23 54 12.98,+27 24 33.0,,,17.4,,,SNIa,39,1
745,SN 2007om,SN*,23 54 20.7,-00 55 02,,,,,,SNIa,20,1
746,SN 2005ja,SN*,23 55 52.64,+00 52 37.1,,,,,,SNIa,13,1
747,SN 2007mk,SN*,23 56 16.80,-00 30 02.9,,,,,,SNIa,12,1
748,SN 2007oz,SN*,23 57 16.57,+00 14 57.7,,,,,,SNIa,9,1
749,SN 2007ij,SN*,23 57 21.96,+00 06 21.1,,,,,,SNIa,7,1
750,SN 2005iq,SN*,23 58 32.50,-18 42 33.0,,,17.2,,,SNIa,65,1
751,SN 2006gb,SN*,23 59 16.56,-01 15 01.4,,,,,,SNIa,14,1
752,SN 2005gx,SN*,23 59 32.160,+00 44 12.91,,22.6,,,,SNIa,25,1
